run,rung,config,tool,calls,calls_per_question
20260726-203802-gpt-5-mini,1,R1,run_sql,428,2.503
20260726-203802-gpt-5-mini,1,R1,describe_table,231,1.351
20260726-203802-gpt-5-mini,1,R1,get_schema,183,1.07
20260726-203802-gpt-5-mini,2,R1,run_sql,310,1.813
20260726-203802-gpt-5-mini,2,R1,get_schema,175,1.023
20260726-203802-gpt-5-mini,2,R1,describe_table,160,0.936
20260726-203802-gpt-5-mini,3,R1,query_metric,424,2.48
20260726-203802-gpt-5-mini,3,R1,list_metrics,210,1.228
20260726-203802-gpt-5-mini,3,R1,run_sql,63,0.368
20260726-203802-gpt-5-mini,3,R1,get_schema,40,0.234
20260726-203802-gpt-5-mini,3,R1,describe_table,29,0.17
20260726-203802-gpt-5-mini,7,R1,query_metric,278,1.626
20260726-203802-gpt-5-mini,7,R1,list_metrics,192,1.123
20260726-203802-gpt-5-mini,7,R1,run_sql,68,0.398
20260726-203802-gpt-5-mini,7,R1,explain_change,64,0.374
20260726-203802-gpt-5-mini,7,R1,get_metric_tree,51,0.298
20260726-203802-gpt-5-mini,7,R1,get_schema,44,0.257
20260726-203802-gpt-5-mini,7,R1,describe_table,20,0.117
20260726-211115-gpt-5-mini,3,R9,query_metric,285,1.667
20260726-211115-gpt-5-mini,3,R9,list_metrics,172,1.006
20260726-211115-gpt-5-mini,3,R9,check_coverage,76,0.444
20260726-211115-gpt-5-mini,3,R9,check_segment_defined,41,0.24
20260726-211115-gpt-5-mini,3,R9,check_metric_exists,37,0.216
20260726-211115-gpt-5-mini,3,R9,check_causal_evidence,26,0.152
20260726-211115-gpt-5-mini,7,R9,query_metric,214,1.251
20260726-211115-gpt-5-mini,7,R9,list_metrics,141,0.825
20260726-211115-gpt-5-mini,7,R9,check_segment_defined,41,0.24
20260726-211115-gpt-5-mini,7,R9,check_metric_exists,39,0.228
20260726-211115-gpt-5-mini,7,R9,explain_change,37,0.216
20260726-211115-gpt-5-mini,7,R9,check_coverage,34,0.199
20260726-211115-gpt-5-mini,7,R9,get_metric_tree,24,0.14
20260726-211115-gpt-5-mini,7,R9,check_causal_evidence,15,0.088
20260726-211115-gpt-5-mini,7,R9,get_schema,2,0.012
20260726-215742-gpt-5-mini,7,R1,list_metrics,157,0.918
20260726-215742-gpt-5-mini,7,R1,query_metric,155,0.906
20260726-215742-gpt-5-mini,7,R1,explain_change,49,0.287
20260726-215742-gpt-5-mini,7,R1,get_schema,36,0.211
20260726-215742-gpt-5-mini,7,R1,run_sql,33,0.193
20260726-215742-gpt-5-mini,7,R1,get_metric_tree,24,0.14
20260726-215742-gpt-5-mini,7,R1,describe_table,8,0.047
20260726-215928-gpt-5-mini,7,R9,query_metric,145,0.848
20260726-215928-gpt-5-mini,7,R9,list_metrics,80,0.468
20260726-215928-gpt-5-mini,7,R9,explain_change,36,0.211
20260726-215928-gpt-5-mini,7,R9,check_segment_defined,26,0.152
20260726-215928-gpt-5-mini,7,R9,check_metric_exists,20,0.117
20260726-215928-gpt-5-mini,7,R9,get_metric_tree,17,0.099
20260726-215928-gpt-5-mini,7,R9,check_coverage,10,0.058
20260726-215928-gpt-5-mini,7,R9,check_causal_evidence,7,0.041
20260726-215928-gpt-5-mini,7,R9,describe_table,1,0.006
20260726-220152-gpt-5-mini,7,R9,query_metric,200,1.17
20260726-220152-gpt-5-mini,7,R9,list_metrics,139,0.813
20260726-220152-gpt-5-mini,7,R9,explain_change,57,0.333
20260726-220152-gpt-5-mini,7,R9,check_metric_exists,48,0.281
20260726-220152-gpt-5-mini,7,R9,check_segment_defined,47,0.275
20260726-220152-gpt-5-mini,7,R9,check_coverage,34,0.199
20260726-220152-gpt-5-mini,7,R9,get_metric_tree,27,0.158
20260726-220152-gpt-5-mini,7,R9,check_causal_evidence,13,0.076
20260726-220152-gpt-5-mini,7,R9,get_schema,1,0.006
20260726-220626-gpt-5.6-terra,7,R1,query_metric,140,0.819
20260726-220626-gpt-5.6-terra,7,R1,list_metrics,135,0.789
20260726-220626-gpt-5.6-terra,7,R1,run_sql,39,0.228
20260726-220626-gpt-5.6-terra,7,R1,get_schema,38,0.222
20260726-220626-gpt-5.6-terra,7,R1,explain_change,35,0.205
20260726-220626-gpt-5.6-terra,7,R1,get_metric_tree,25,0.146
20260726-220626-gpt-5.6-terra,7,R1,describe_table,10,0.058
20260726-220729-gpt-5.6-terra,7,R9,query_metric,125,0.731
20260726-220729-gpt-5.6-terra,7,R9,check_metric_exists,48,0.281
20260726-220729-gpt-5.6-terra,7,R9,explain_change,46,0.269
20260726-220729-gpt-5.6-terra,7,R9,check_causal_evidence,14,0.082
20260726-220729-gpt-5.6-terra,7,R9,list_metrics,12,0.07
20260726-220729-gpt-5.6-terra,7,R9,check_coverage,9,0.053
20260726-220729-gpt-5.6-terra,7,R9,check_segment_defined,9,0.053
20260726-220729-gpt-5.6-terra,7,R9,get_metric_tree,7,0.041
exp4-shapley-lattice,7,R6,query_metric,198,1.158
exp4-shapley-lattice,7,R6,list_metrics,147,0.86
exp4-shapley-lattice,7,R6,explain_change,49,0.287
exp4-shapley-lattice,7,R6,check_segment_defined,48,0.281
exp4-shapley-lattice,7,R6,check_coverage,46,0.269
exp4-shapley-lattice,7,R6,check_metric_exists,43,0.251
exp4-shapley-lattice,7,R6,get_metric_tree,24,0.14
exp4-shapley-lattice,7,R6,check_causal_evidence,14,0.082
exp4-shapley-lattice,7,R6,get_schema,4,0.023
exp4-shapley-lattice,7,R6,describe_table,2,0.012
exp4-shapley-lattice,7,R6-coverage_check,query_metric,161,0.942
exp4-shapley-lattice,7,R6-coverage_check,list_metrics,149,0.871
exp4-shapley-lattice,7,R6-coverage_check,check_metric_exists,73,0.427
exp4-shapley-lattice,7,R6-coverage_check,explain_change,48,0.281
exp4-shapley-lattice,7,R6-coverage_check,check_coverage,47,0.275
exp4-shapley-lattice,7,R6-coverage_check,check_segment_defined,42,0.246
exp4-shapley-lattice,7,R6-coverage_check,get_metric_tree,31,0.181
exp4-shapley-lattice,7,R6-coverage_check,check_causal_evidence,13,0.076
exp4-shapley-lattice,7,R6-coverage_check,get_schema,2,0.012
exp4-shapley-lattice,7,R6-coverage_check,describe_table,1,0.006
exp4-shapley-lattice,7,R6-resolve,query_metric,191,1.117
exp4-shapley-lattice,7,R6-resolve,list_metrics,145,0.848
exp4-shapley-lattice,7,R6-resolve,explain_change,53,0.31
exp4-shapley-lattice,7,R6-resolve,check_metric_exists,47,0.275
exp4-shapley-lattice,7,R6-resolve,check_coverage,45,0.263
exp4-shapley-lattice,7,R6-resolve,get_metric_tree,24,0.14
