run,rung,config,tool,calls,calls_per_question
20260726-203802-gpt-5-mini,1,R1,run_sql,428,2.503
20260726-203802-gpt-5-mini,1,R1,describe_table,231,1.351
20260726-203802-gpt-5-mini,1,R1,get_schema,183,1.07
20260726-203802-gpt-5-mini,2,R1,run_sql,310,1.813
20260726-203802-gpt-5-mini,2,R1,get_schema,175,1.023
20260726-203802-gpt-5-mini,2,R1,describe_table,160,0.936
20260726-203802-gpt-5-mini,3,R1,query_metric,424,2.48
20260726-203802-gpt-5-mini,3,R1,list_metrics,210,1.228
20260726-203802-gpt-5-mini,3,R1,run_sql,63,0.368
20260726-203802-gpt-5-mini,3,R1,get_schema,40,0.234
20260726-203802-gpt-5-mini,3,R1,describe_table,29,0.17
20260726-203802-gpt-5-mini,7,R1,query_metric,278,1.626
20260726-203802-gpt-5-mini,7,R1,list_metrics,192,1.123
20260726-203802-gpt-5-mini,7,R1,run_sql,68,0.398
20260726-203802-gpt-5-mini,7,R1,explain_change,64,0.374
20260726-203802-gpt-5-mini,7,R1,get_metric_tree,51,0.298
20260726-203802-gpt-5-mini,7,R1,get_schema,44,0.257
20260726-203802-gpt-5-mini,7,R1,describe_table,20,0.117
20260727-140714-gpt-5-mini,7,R0,query_metric,309,1.807
20260727-140714-gpt-5-mini,7,R0,list_metrics,176,1.029
20260727-140714-gpt-5-mini,7,R0,run_sql,83,0.485
20260727-140714-gpt-5-mini,7,R0,explain_change,63,0.368
20260727-140714-gpt-5-mini,7,R0,get_metric_tree,49,0.287
20260727-140714-gpt-5-mini,7,R0,get_schema,34,0.199
20260727-140714-gpt-5-mini,7,R0,describe_table,18,0.105
20260727-140714-gpt-5-mini,7,R1,query_metric,276,1.614
20260727-140714-gpt-5-mini,7,R1,list_metrics,199,1.164
20260727-140714-gpt-5-mini,7,R1,explain_change,74,0.433
20260727-140714-gpt-5-mini,7,R1,run_sql,51,0.298
20260727-140714-gpt-5-mini,7,R1,get_metric_tree,40,0.234
20260727-140714-gpt-5-mini,7,R1,get_schema,39,0.228
20260727-140714-gpt-5-mini,7,R1,describe_table,22,0.129
20260727-140714-gpt-5-mini,7,R2,query_metric,178,1.041
20260727-140714-gpt-5-mini,7,R2,list_metrics,153,0.895
20260727-140714-gpt-5-mini,7,R2,check_metric_exists,69,0.404
20260727-140714-gpt-5-mini,7,R2,check_coverage,59,0.345
20260727-140714-gpt-5-mini,7,R2,explain_change,56,0.327
20260727-140714-gpt-5-mini,7,R2,run_sql,38,0.222
20260727-140714-gpt-5-mini,7,R2,check_segment_defined,29,0.17
20260727-140714-gpt-5-mini,7,R2,get_metric_tree,29,0.17
20260727-140714-gpt-5-mini,7,R2,get_schema,20,0.117
20260727-140714-gpt-5-mini,7,R2,check_causal_evidence,10,0.058
20260727-140714-gpt-5-mini,7,R2,describe_table,6,0.035
20260727-140714-gpt-5-mini,7,R3,query_metric,177,1.035
20260727-140714-gpt-5-mini,7,R3,list_metrics,146,0.854
20260727-140714-gpt-5-mini,7,R3,check_coverage,63,0.368
20260727-140714-gpt-5-mini,7,R3,explain_change,51,0.298
20260727-140714-gpt-5-mini,7,R3,check_metric_exists,46,0.269
20260727-140714-gpt-5-mini,7,R3,get_metric_tree,29,0.17
20260727-140714-gpt-5-mini,7,R3,check_segment_defined,25,0.146
20260727-140714-gpt-5-mini,7,R3,run_sql,17,0.099
20260727-140714-gpt-5-mini,7,R3,check_causal_evidence,17,0.099
20260727-140714-gpt-5-mini,7,R3,get_schema,12,0.07
20260727-140714-gpt-5-mini,7,R3,describe_table,2,0.012
20260727-140714-gpt-5-mini,7,R4,query_metric,171,1.0
20260727-140714-gpt-5-mini,7,R4,list_metrics,142,0.83
20260727-140714-gpt-5-mini,7,R4,check_metric_exists,60,0.351
20260727-140714-gpt-5-mini,7,R4,explain_change,60,0.351
20260727-140714-gpt-5-mini,7,R4,check_coverage,59,0.345
20260727-140714-gpt-5-mini,7,R4,check_segment_defined,33,0.193
20260727-140714-gpt-5-mini,7,R4,get_metric_tree,27,0.158
20260727-140714-gpt-5-mini,7,R4,check_causal_evidence,15,0.088
20260727-140714-gpt-5-mini,7,R4,describe_table,5,0.029
20260727-140714-gpt-5-mini,7,R5,query_metric,194,1.135
20260727-140714-gpt-5-mini,7,R5,list_metrics,146,0.854
20260727-140714-gpt-5-mini,7,R5,check_coverage,69,0.404
20260727-140714-gpt-5-mini,7,R5,check_metric_exists,55,0.322
20260727-140714-gpt-5-mini,7,R5,explain_change,49,0.287
20260727-140714-gpt-5-mini,7,R5,check_segment_defined,43,0.251
20260727-140714-gpt-5-mini,7,R5,get_metric_tree,25,0.146
20260727-140714-gpt-5-mini,7,R5,check_causal_evidence,14,0.082
20260727-140714-gpt-5-mini,7,R5,get_schema,4,0.023
20260727-140714-gpt-5-mini,7,R5,describe_table,1,0.006
20260727-140714-gpt-5-mini,7,R6,query_metric,197,1.152
20260727-140714-gpt-5-mini,7,R6,list_metrics,154,0.901
20260727-140714-gpt-5-mini,7,R6,check_metric_exists,52,0.304
20260727-140714-gpt-5-mini,7,R6,check_coverage,48,0.281
20260727-140714-gpt-5-mini,7,R6,explain_change,48,0.281
20260727-140714-gpt-5-mini,7,R6,check_segment_defined,45,0.263
20260727-140714-gpt-5-mini,7,R6,get_metric_tree,29,0.17
20260727-140714-gpt-5-mini,7,R6,check_causal_evidence,16,0.094
20260727-140714-gpt-5-mini,7,R6,describe_table,3,0.018
20260727-140714-gpt-5-mini,7,R6,get_schema,1,0.006
20260727-140714-gpt-5-mini,7,R7,query_metric,184,1.076
20260727-140714-gpt-5-mini,7,R7,list_metrics,131,0.766
20260727-140714-gpt-5-mini,7,R7,check_coverage,54,0.316
20260727-140714-gpt-5-mini,7,R7,check_metric_exists,50,0.292
20260727-140714-gpt-5-mini,7,R7,explain_change,49,0.287
20260727-140714-gpt-5-mini,7,R7,check_segment_defined,41,0.24
20260727-140714-gpt-5-mini,7,R7,get_metric_tree,25,0.146
20260727-140714-gpt-5-mini,7,R7,check_causal_evidence,14,0.082
20260727-140714-gpt-5-mini,7,R8,query_metric,181,1.058
20260727-140714-gpt-5-mini,7,R8,list_metrics,140,0.819
20260727-140714-gpt-5-mini,7,R8,explain_change,57,0.333
20260727-140714-gpt-5-mini,7,R8,check_segment_defined,47,0.275
20260727-140714-gpt-5-mini,7,R8,check_metric_exists,47,0.275
20260727-140714-gpt-5-mini,7,R8,check_coverage,45,0.263
20260727-140714-gpt-5-mini,7,R8,get_metric_tree,20,0.117
20260727-140714-gpt-5-mini,7,R8,check_causal_evidence,13,0.076
