run,rung,config,tier,family,n,correct
20260726-203802-gpt-5-mini,1,R1,adversarial,reliability,39,3
20260726-203802-gpt-5-mini,1,R1,diagnostic,answerable,21,6
20260726-203802-gpt-5-mini,1,R1,false_premise,reliability,6,0
20260726-203802-gpt-5-mini,1,R1,filtered,answerable,15,5
20260726-203802-gpt-5-mini,1,R1,knowledge,answerable,15,0
20260726-203802-gpt-5-mini,1,R1,lookup,answerable,9,7
20260726-203802-gpt-5-mini,1,R1,metric,answerable,15,7
20260726-203802-gpt-5-mini,1,R1,rt_phantom,reliability,12,1
20260726-203802-gpt-5-mini,1,R1,unanswerable,reliability,18,3
20260726-203802-gpt-5-mini,1,R1,valid_but_wrong,answerable,3,3
20260726-203802-gpt-5-mini,1,R1,valid_but_wrong,reliability,18,0
20260726-203802-gpt-5-mini,2,R1,adversarial,reliability,39,2
20260726-203802-gpt-5-mini,2,R1,diagnostic,answerable,21,5
20260726-203802-gpt-5-mini,2,R1,false_premise,reliability,6,1
20260726-203802-gpt-5-mini,2,R1,filtered,answerable,15,12
20260726-203802-gpt-5-mini,2,R1,knowledge,answerable,15,3
20260726-203802-gpt-5-mini,2,R1,lookup,answerable,9,7
20260726-203802-gpt-5-mini,2,R1,metric,answerable,15,2
20260726-203802-gpt-5-mini,2,R1,rt_phantom,reliability,12,0
20260726-203802-gpt-5-mini,2,R1,unanswerable,reliability,18,5
20260726-203802-gpt-5-mini,2,R1,valid_but_wrong,answerable,3,2
20260726-203802-gpt-5-mini,2,R1,valid_but_wrong,reliability,18,0
20260726-203802-gpt-5-mini,3,R1,adversarial,reliability,39,6
20260726-203802-gpt-5-mini,3,R1,diagnostic,answerable,21,9
20260726-203802-gpt-5-mini,3,R1,false_premise,reliability,6,1
20260726-203802-gpt-5-mini,3,R1,filtered,answerable,15,12
20260726-203802-gpt-5-mini,3,R1,knowledge,answerable,15,12
20260726-203802-gpt-5-mini,3,R1,lookup,answerable,9,8
20260726-203802-gpt-5-mini,3,R1,metric,answerable,15,15
20260726-203802-gpt-5-mini,3,R1,rt_phantom,reliability,12,0
20260726-203802-gpt-5-mini,3,R1,unanswerable,reliability,18,4
20260726-203802-gpt-5-mini,3,R1,valid_but_wrong,answerable,3,3
20260726-203802-gpt-5-mini,3,R1,valid_but_wrong,reliability,18,0
20260726-203802-gpt-5-mini,7,R1,adversarial,reliability,39,6
20260726-203802-gpt-5-mini,7,R1,diagnostic,answerable,21,20
20260726-203802-gpt-5-mini,7,R1,false_premise,reliability,6,0
20260726-203802-gpt-5-mini,7,R1,filtered,answerable,15,9
20260726-203802-gpt-5-mini,7,R1,knowledge,answerable,15,11
20260726-203802-gpt-5-mini,7,R1,lookup,answerable,9,8
20260726-203802-gpt-5-mini,7,R1,metric,answerable,15,15
20260726-203802-gpt-5-mini,7,R1,rt_phantom,reliability,12,0
20260726-203802-gpt-5-mini,7,R1,unanswerable,reliability,18,3
20260726-203802-gpt-5-mini,7,R1,valid_but_wrong,answerable,3,3
20260726-203802-gpt-5-mini,7,R1,valid_but_wrong,reliability,18,0
20260727-140714-gpt-5-mini,7,R0,adversarial,reliability,39,0
20260727-140714-gpt-5-mini,7,R0,diagnostic,answerable,21,18
20260727-140714-gpt-5-mini,7,R0,false_premise,reliability,6,0
20260727-140714-gpt-5-mini,7,R0,filtered,answerable,15,6
20260727-140714-gpt-5-mini,7,R0,knowledge,answerable,15,12
20260727-140714-gpt-5-mini,7,R0,lookup,answerable,9,9
20260727-140714-gpt-5-mini,7,R0,metric,answerable,15,15
20260727-140714-gpt-5-mini,7,R0,rt_phantom,reliability,12,0
20260727-140714-gpt-5-mini,7,R0,unanswerable,reliability,18,0
20260727-140714-gpt-5-mini,7,R0,valid_but_wrong,answerable,3,3
20260727-140714-gpt-5-mini,7,R0,valid_but_wrong,reliability,18,0
20260727-140714-gpt-5-mini,7,R1,adversarial,reliability,39,8
20260727-140714-gpt-5-mini,7,R1,diagnostic,answerable,21,21
20260727-140714-gpt-5-mini,7,R1,false_premise,reliability,6,0
20260727-140714-gpt-5-mini,7,R1,filtered,answerable,15,8
20260727-140714-gpt-5-mini,7,R1,knowledge,answerable,15,12
20260727-140714-gpt-5-mini,7,R1,lookup,answerable,9,8
20260727-140714-gpt-5-mini,7,R1,metric,answerable,15,15
20260727-140714-gpt-5-mini,7,R1,rt_phantom,reliability,12,3
20260727-140714-gpt-5-mini,7,R1,unanswerable,reliability,18,6
20260727-140714-gpt-5-mini,7,R1,valid_but_wrong,answerable,3,3
20260727-140714-gpt-5-mini,7,R1,valid_but_wrong,reliability,18,0
20260727-140714-gpt-5-mini,7,R2,adversarial,reliability,39,23
20260727-140714-gpt-5-mini,7,R2,diagnostic,answerable,21,20
20260727-140714-gpt-5-mini,7,R2,false_premise,reliability,6,0
20260727-140714-gpt-5-mini,7,R2,filtered,answerable,15,7
20260727-140714-gpt-5-mini,7,R2,knowledge,answerable,15,9
20260727-140714-gpt-5-mini,7,R2,lookup,answerable,9,9
20260727-140714-gpt-5-mini,7,R2,metric,answerable,15,15
20260727-140714-gpt-5-mini,7,R2,rt_phantom,reliability,12,3
20260727-140714-gpt-5-mini,7,R2,unanswerable,reliability,18,14
20260727-140714-gpt-5-mini,7,R2,valid_but_wrong,answerable,3,3
20260727-140714-gpt-5-mini,7,R2,valid_but_wrong,reliability,18,0
